target	predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
T1	L_DLPFC	L_PTL	0.14172824742731915	0.14172824742731915	0.5	0.5
T1	L_DLPFC	L_IFGorb	0.14172824742731915	0.21472731984595703	5.7997854968989284e-21	1.2005555978580781e-18
T1	L_PTL	L_IFGorb	0.14172824742731915	0.21472731984595703	5.7997854968989284e-21	1.2005555978580781e-18
T2	L_DLPFC	L_PTL	0.16030749629539467	0.16030749629539467	0.5	0.5
T2	L_DLPFC	L_IFGorb	0.16030749629539467	0.21964322473876002	1.2768413173498702e-12	1.3910850141653848e-11
T2	L_PTL	L_IFGorb	0.16030749629539467	0.21964322473876002	1.2768413173498702e-12	1.3910850141653848e-11
T3	L_DLPFC	L_PTL	0.15123711382432523	0.15123711382432523	0.5	0.5
T3	L_DLPFC	L_IFGorb	0.15123711382432523	0.19871426710125664	3.891599683074731e-08	2.119897722095972e-07
T3	L_PTL	L_IFGorb	0.15123711382432523	0.19871426710125664	3.891599683074731e-08	2.119897722095972e-07
T2-T1	L_DLPFC	L_PTL	0.2698408807172043	0.2698408807172043	0.5	0.5
T2-T1	L_DLPFC	L_IFGorb	0.2698408807172043	0.23781736326816635	0.0009212651844878034	0.0030270141776027825
T2-T1	L_PTL	L_IFGorb	0.2698408807172043	0.23781736326816635	0.0009212651844878034	0.0030270141776027825
T3-T2	L_DLPFC	L_PTL	0.2114738977165355	0.2114738977165355	0.5	0.5
T3-T2	L_DLPFC	L_IFGorb	0.2114738977165355	0.15479181292463015	1.632439653084831e-14	1.8773056010475555e-13
T3-T2	L_PTL	L_IFGorb	0.2114738977165355	0.15479181292463015	1.632439653084831e-14	1.8773056010475555e-13
T3-T1	L_DLPFC	L_PTL	0.25705318014299816	0.25705318014299816	0.5	0.5
T3-T1	L_DLPFC	L_IFGorb	0.25705318014299816	0.2223152877712442	1.4715282270889162e-05	7.81041905147194e-05
T3-T1	L_PTL	L_IFGorb	0.25705318014299816	0.2223152877712442	1.4715282270889162e-05	7.81041905147194e-05
