target	predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
T1	L_PTL	L_DLPFC	0.14114758159302832	0.14114758159302832	0.5	0.5
T1	L_PTL	L_IFGorb	0.14114758159302832	0.21472731984595703	6.875346177211937e-22	8.353545605312503e-20
T1	L_DLPFC	L_IFGorb	0.14114758159302832	0.21472731984595703	6.875346177211937e-22	8.353545605312503e-20
T2	L_PTL	L_DLPFC	0.1615517028238188	0.1615517028238188	0.5	0.5
T2	L_PTL	L_IFGorb	0.1615517028238188	0.21964322473876002	1.9651859757583285e-12	4.775401921092738e-11
T2	L_DLPFC	L_IFGorb	0.1615517028238188	0.21964322473876002	1.9651859757583285e-12	4.775401921092738e-11
T3	L_PTL	L_DLPFC	0.1508473255962579	0.1508473255962579	0.5	0.5
T3	L_PTL	L_IFGorb	0.1508473255962579	0.19871426710125664	2.047483819545149e-08	1.9136098774979663e-07
T3	L_DLPFC	L_IFGorb	0.1508473255962579	0.19871426710125664	2.047483819545149e-08	1.9136098774979663e-07
T2-T1	L_PTL	L_DLPFC	0.1328704675629602	0.1328704675629602	0.5	0.5
T2-T1	L_PTL	L_IFGorb	0.1328704675629602	0.21800898709327377	2.4223506490312032e-20	1.471578019286456e-18
T2-T1	L_DLPFC	L_IFGorb	0.1328704675629602	0.21800898709327377	2.4223506490312032e-20	1.471578019286456e-18
T3-T2	L_PTL	L_DLPFC	0.24428966732054372	0.24428966732054372	0.5	0.5
T3-T2	L_PTL	L_IFGorb	0.24428966732054372	0.27698912097642164	0.0004874558771059671	0.0012211523519252577
T3-T2	L_DLPFC	L_IFGorb	0.24428966732054372	0.27698912097642164	0.0004874558771059671	0.0012211523519252577
T3-T1	L_PTL	L_DLPFC	0.18125013710615828	0.18125013710615828	0.5	0.5
T3-T1	L_PTL	L_IFGorb	0.18125013710615828	0.23548780200159913	1.1953414655752816e-08	1.2102832338949727e-07
T3-T1	L_DLPFC	L_IFGorb	0.18125013710615828	0.23548780200159913	1.1953414655752816e-08	1.2102832338949727e-07
